,Unnamed: 0,POPESTIMATE2019,FIPS
381,381,974996,12103.0
382,382,724777,12105.0
383,383,74521,12107.0
384,384,264672,12109.0
385,385,328297,12111.0
386,386,184313,12113.0
387,387,433742,12115.0
388,388,471826,12117.0
389,389,132420,12119.0
390,390,44417,12121.0
391,391,21569,12123.0
392,392,15237,12125.0
393,393,553284,12127.0
394,394,33739,12129.0
395,395,74071,12131.0
396,396,25473,12133.0
397,397,10617423,13000.0
398,398,18386,13001.0
399,399,8165,13003.0
400,400,11164,13005.0
401,401,3038,13007.0
402,402,44890,13009.0
403,403,19234,13011.0
404,404,83240,13013.0
405,405,107738,13015.0
406,406,16700,13017.0
407,407,19397,13019.0
408,408,153159,13021.0
409,409,12873,13023.0
410,410,19109,13025.0
411,411,15457,13027.0
412,412,39627,13029.0
413,413,79608,13031.0
414,414,22383,13033.0
415,415,24936,13035.0
416,416,6189,13037.0
417,417,54666,13039.0
418,418,10803,13043.0
419,419,119992,13045.0
420,420,67580,13047.0
421,421,13392,13049.0
422,422,289430,13051.0
423,423,10907,13053.0
424,424,24789,13055.0
425,425,258773,13057.0
426,426,128331,13059.0
427,427,2834,13061.0
428,428,292256,13063.0
429,429,6618,13065.0
430,430,760141,13067.0
431,431,43273,13069.0
432,432,45600,13071.0
433,433,156714,13073.0
434,434,17270,13075.0
435,435,148509,13077.0
436,436,12404,13079.0
437,437,22372,13081.0
438,438,16116,13083.0
439,439,26108,13085.0
440,440,26404,13087.0
441,441,759297,13089.0
442,442,20605,13091.0
443,443,13390,13093.0
444,444,87956,13095.0
445,445,146343,13097.0
446,446,10190,13099.0
447,447,4006,13101.0
448,448,64296,13103.0
449,449,19194,13105.0
450,450,22646,13107.0
451,451,10654,13109.0
452,452,26188,13111.0
453,453,114421,13113.0
454,454,98498,13115.0
455,455,244252,13117.0
456,456,23349,13119.0
457,457,1063937,13121.0
458,458,31369,13123.0
459,459,2971,13125.0
460,460,85292,13127.0
461,461,57963,13129.0
462,462,24633,13131.0
463,463,18324,13133.0
464,464,936250,13135.0
465,465,45328,13137.0
466,466,204441,13139.0
467,467,8457,13141.0
468,468,29792,13143.0
469,469,35236,13145.0
470,470,26205,13147.0
471,471,11923,13149.0
472,472,234561,13151.0
473,473,157863,13153.0
474,474,9416,13155.0
475,475,72977,13157.0
476,476,14219,13159.0
477,477,15115,13161.0
478,478,15362,13163.0
479,479,8676,13165.0
480,480,9643,13167.0
481,481,28735,13169.0
482,482,19077,13171.0
483,483,10423,13173.0
484,484,47546,13175.0
485,485,29992,13177.0
486,486,61435,13179.0
487,487,7921,13181.0
488,488,19559,13183.0
489,489,117406,13185.0
490,490,33610,13187.0
491,491,21312,13189.0
492,492,14378,13191.0
493,493,12947,13193.0
494,494,29880,13195.0
495,495,8359,13197.0
496,496,21167,13199.0
497,497,5718,13201.0
498,498,21863,13205.0
499,499,27578,13207.0
500,500,9172,13209.0
501,501,19276,13211.0
502,502,40096,13213.0
503,503,195769,13215.0
504,504,111744,13217.0
505,505,40280,13219.0
506,506,15259,13221.0
507,507,168667,13223.0
508,508,27546,13225.0
509,509,32591,13227.0
510,510,19465,13229.0
511,511,18962,13231.0
512,512,42613,13233.0
513,513,11137,13235.0
514,514,22119,13237.0
515,515,2299,13239.0
516,516,17137,13241.0
517,517,6778,13243.0
518,518,202518,13245.0
519,519,90896,13247.0
520,520,5257,13249.0
521,521,13966,13251.0
522,522,8090,13253.0
523,523,66703,13255.0
524,524,25925,13257.0
525,525,6621,13259.0
526,526,29524,13261.0
527,527,6195,13263.0
528,528,1537,13265.0
529,529,25286,13267.0
530,530,8020,13269.0
531,531,15860,13271.0
532,532,8531,13273.0
533,533,44451,13275.0
534,534,40644,13277.0
535,535,26830,13279.0
536,536,12037,13281.0
537,537,6901,13283.0
538,538,69922,13285.0
539,539,7985,13287.0
540,540,8120,13289.0
541,541,24511,13291.0
542,542,26320,13293.0
543,543,69761,13295.0
544,544,94593,13297.0
545,545,35734,13299.0
546,546,5254,13301.0
547,547,20374,13303.0
548,548,29927,13305.0
549,549,2607,13307.0
550,550,7855,13309.0
551,551,30798,13311.0
552,552,104628,13313.0
553,553,8635,13315.0
554,554,9777,13317.0
555,555,8954,13319.0
556,556,20247,13321.0
557,557,1415872,15000.0
558,558,201513,15001.0
559,559,974563,15003.0
560,560,86,15005.0
561,561,72293,15007.0
562,562,167417,15009.0
563,563,1787065,16000.0
564,564,481587,16001.0
565,565,4294,16003.0
566,566,87808,16005.0
567,567,6125,16007.0
568,568,9298,16009.0
569,569,46811,16011.0
570,570,23021,16013.0
571,571,7831,16015.0
572,572,45739,16017.0
573,573,119062,16019.0
574,574,12245,16021.0
575,575,2597,16023.0
576,576,1106,16025.0
577,577,229849,16027.0
578,578,7155,16029.0
579,579,24030,16031.0
580,580,845,16033.0
581,581,8756,16035.0
582,582,4315,16037.0
583,583,27511,16039.0
584,584,13876,16041.0
585,585,13099,16043.0
586,586,18112,16045.0
587,587,15179,16047.0
588,588,16667,16049.0
589,589,29871,16051.0
590,590,24412,16053.0
591,591,165697,16055.0
592,592,40108,16057.0
593,593,8027,16059.0
594,594,3838,16061.0
595,595,5366,16063.0
596,596,39907,16065.0
597,597,21039,16067.0
598,598,40408,16069.0
599,599,4531,16071.0
600,600,11823,16073.0
601,601,23951,16075.0
