,Unnamed: 0,Unnamed: 0.1,POPESTIMATE2019,FIPS,beta,f
58,657,657,696535,17097.0,3.7259200619618157e-07,0.08440066220266357
59,664,664,307774,17111.0,-6.550010497045211e-06,-0.8190672752208878
60,690,690,259686,17163.0,8.528260816297871e-07,0.10864457617992396
61,707,707,690743,17197.0,-2.9965763278931217e-06,-1.2391476798681547
62,713,713,379299,18003.0,6.582054791952785e-07,0.15964062327361078
63,727,727,26559,18031.0,9.121657586902738e-06,0.26823112743384836
64,740,740,338011,18057.0,7.083564105887026e-07,0.14907800675396732
65,743,743,170311,18063.0,1.2498430518289048e-06,0.07752666998987148
66,752,752,158167,18081.0,1.382201393121693e-06,0.17055118148226894
67,756,756,485493,18089.0,5.556112636093774e-07,0.10554331003063057
68,759,759,129569,18095.0,-1.5608987370421626e-05,-1.1401349051380196
69,760,760,964582,18097.0,2.6065666443386867e-07,0.1168805724364649
70,861,861,226706,19113.0,1.1503650802338162e-06,0.14011836928751242
71,881,881,490161,19153.0,4.932453586320655e-07,0.06945073818565281
72,950,950,602401,20091.0,3.365013283967697e-07,0.13130259764414162
73,1009,1009,165429,20209.0,1.3530934619663878e-06,0.15733260779035957
74,1066,1066,766757,21111.0,2.950321365722049e-07,0.13274705790464295
75,1134,1134,126604,22005.0,1.8803898480418149e-06,0.12568785444890668
76,1140,1140,240204,22017.0,1.0083602971782844e-06,0.130954050701946
77,1141,1141,203436,22019.0,1.1739521838754723e-06,0.13917995644726755
78,1148,1148,440059,22033.0,6.184314911592202e-07,0.16155351454179212
79,1155,1155,32511,22047.0,7.443570836015077e-06,0.13058639536091068
80,1157,1157,432493,22051.0,6.191905259750797e-07,0.12410875515141234
81,1160,1160,97614,22057.0,2.3864779947343652e-06,0.11726855646741456
82,1167,1167,390144,22071.0,-5.3131436955645684e-06,-1.221081016365333
83,1176,1176,53100,22089.0,4.267176239243116e-06,0.11721371367822166
84,1179,1179,42837,22095.0,5.558348236422607e-06,0.16788863934818488
85,1180,1180,82124,22097.0,2.6319104942562413e-06,0.3636485345338473
86,1183,1183,260419,22103.0,9.379488165248735e-07,0.16978811399475818
87,1186,1186,110461,22109.0,1.9696274575804303e-06,0.12528383111589925
88,1199,1199,295003,23005.0,7.497693831699729e-07,0.09155916275841257
89,1215,1215,579234,24003.0,4.322672389490247e-07,0.09236078780263224
90,1216,1216,827370,24005.0,3.0778935398295496e-07,0.07376634076013108
91,1219,1219,168447,24013.0,1.31481279085637e-06,0.20713711772281546
92,1221,1221,163257,24017.0,1.372290376694383e-06,0.122091948884704
93,1223,1223,259547,24021.0,9.526034229024714e-07,0.10128913892642286
94,1228,1228,1050688,24031.0,2.3042053349243213e-07,0.09317890918975617
95,1229,1229,909327,24033.0,2.902252445759532e-07,0.0779268207483427
96,1237,1237,593490,24510.0,4.4530719464101886e-07,0.09874129492699624
97,1239,1239,212990,25001.0,-9.548341217856742e-06,-0.8137734011279124
98,1240,1240,124944,25003.0,-1.4756057908346328e-05,336.95121689102666
99,1241,1241,565217,25005.0,4.81669049180832e-07,0.1113401747954341
100,1243,1243,789034,25009.0,3.5092341118210664e-07,0.11577787909849865
101,1244,1244,70180,25011.0,3.1611454146441845e-06,0.26063167266518317
102,1245,1245,466372,25013.0,5.996214283185892e-07,0.23783162753572262
103,1246,1246,160830,25015.0,1.5187198638744263e-06,0.10333881895538509
104,1247,1247,1611699,25017.0,1.6614109776098767e-07,0.124933672651911
105,1249,1249,706775,25021.0,3.3908476763770053e-07,0.15369483560540342
106,1250,1250,521202,25023.0,5.510400753809386e-07,0.1340234132663103
107,1251,1251,803907,25025.0,2.3620160706251002e-07,0.04827433768103684
108,1252,1252,830622,25027.0,3.1028958835892825e-07,0.09742290847281045
109,1278,1278,405813,26049.0,6.833443388241208e-07,0.27433905025191857
110,1294,1294,656955,26081.0,3.651197174619766e-07,0.05392549486229017
111,1297,1297,87607,26087.0,2.699654009540964e-06,0.28171429402070514
112,1303,1303,873972,26099.0,3.213814033470293e-07,0.2580388043874087
113,1316,1316,1257584,26125.0,2.1816008298173474e-07,0.21652693793924394
114,1326,1326,190539,26145.0,1.3681862687619957e-06,0.1863663872159579
115,1334,1334,367601,26161.0,6.446069235764454e-07,0.10030218401587616
116,1335,1335,1749343,26163.0,1.6804443811682376e-07,0.262448280908255
117,1364,1364,1265843,27053.0,1.9365098099061387e-07,0.250503008779607
118,1399,1399,550321,27123.0,3.4913725697158534e-07,0.09388033601724434
119,1600,1600,402022,29183.0,6.066326842328001e-07,0.11813706965086543
120,1604,1604,994205,29189.0,2.439601571064137e-07,0.09705987415663662
121,1623,1623,300576,29510.0,8.702466078562109e-07,0.11843192274494667
122,1721,1721,61353,31079.0,4.982264680179378e-06,0.0665861598640795
123,1777,1777,2266715,32003.0,1.0653602765787867e-07,0.09805359433733606
