,POPESTIMATE2019,FIPS,beta,f,cost
217,434061,6053.0,5.851138726396353e-07,0.02616117977769619,2.235870520558423
218,137744,6055.0,1.2969790487524217e-06,0.018032820638581706,0.318757207645281
219,99755,6057.0,2.2472291644071914e-06,0.02322605443909091,0.17311910418929546
220,3175692,6059.0,3.939826538200842e-08,0.018666972570699943,85.87150361877752
221,398329,6061.0,5.617569674299443e-07,0.023316850947552904,1.3171734601956178
222,18807,6063.0,1.543151731404005e-06,6.794633737149114e-05,1.8188862958687788e-09
223,2470546,6065.0,7.277103722475113e-08,0.008985245343576864,986.4510276238595
224,1552058,6067.0,1.4395797026384358e-07,0.03825309132735819,71.7760167576333
225,62808,6069.0,1.8040543562917773e-05,6.267946510969506e-05,0.5578632682988972
226,2180085,6071.0,1.7121608901173773e-07,0.022206043354208484,147.70444695219786
227,3338330,6073.0,6.411930304846932e-06,4.531853691679133e-05,11565.003322283981
228,881549,6075.0,2.1084959214430653e-07,0.008546002675384037,3.0429572021959634
229,762148,6077.0,3.63761529149422e-07,0.027719185241618868,44.90054258193203
230,283111,6079.0,7.631091436446388e-07,0.022000345481421296,0.13492656446315113
231,766573,6081.0,3.2619939592811684e-07,0.025194408414367906,57.39819881908651
232,446499,6083.0,6.157600097394718e-07,0.02033433494442535,0.516381504374131
233,1927852,6085.0,1.206494349977105e-07,0.00217878940239416,198.28003650350595
234,273213,6087.0,6.984494881088216e-07,0.02901983227287548,0.12827765381460565
235,180080,6089.0,1.3085530164935046e-06,0.019009420241849102,1.308053752165788
237,43539,6093.0,8.363339004705256e-07,0.00013102095382362677,1.3228436410718614e-08
238,447643,6095.0,3.487478085467491e-07,0.02460070624704571,0.232568446306195
239,494336,6097.0,3.093410671285734e-07,0.034302361618612685,0.24342695921812446
240,550660,6099.0,4.2686333516990695e-07,0.02375381561614205,0.42284521150144166
241,96971,6101.0,3.5941820582557287e-06,0.020894216294097292,1.3228363771616203
244,466195,6107.0,6.154387693687486e-07,0.030373389037025883,15.12404492210373
245,54478,6109.0,1.450791425015053e-06,0.005221369827869769,2.593447571636979e-05
246,846006,6111.0,2.672438245758887e-07,0.04425043694655216,24.248795861807338
247,220500,6113.0,1.0429303970598622e-06,0.030759385258512364,0.3584914665917998
248,78668,6115.0,1.1957157005044698e-05,2.4087807372050185e-05,0.4114417556993452
250,517421,8001.0,6.061095907789674e-07,0.03678816501889194,59.972245287548745
251,16233,8003.0,1.939854068079874e-05,0.049633962404352985,0.7098293912993852
252,656590,8005.0,4.795330639717717e-07,0.021953991956941917,192.33956963356215
253,14029,8007.0,8.952398798664717e-06,3.366925575959412e-05,2.1174534325200208e-09
254,3581,8009.0,1.0108111592051684e-05,9.638301541062266e-06,4.9290969927967706e-11
256,326196,8013.0,9.567675125934776e-07,0.028731632434669453,9.506845300745104
257,70465,8014.0,3.7037632391279166e-06,0.03884060809020982,1.2046075734883983
258,20356,8015.0,1.5614332758676245e-05,0.029969224490172454,2.317302608995102
260,9700,8019.0,2.688474040799299e-06,2.0948199209280816e-05,3.6550156186660083e-10
262,3887,8023.0,1.6176721476127568e-07,1.995242571919964e-05,1.36014780186597e-10
263,6061,8025.0,1.987081552960656e-05,0.04876515887385571,0.8192231279071598
265,31162,8029.0,9.23960131562438e-06,0.02405028894356389,0.15703162735169743
266,727211,8031.0,4.0693341960557484e-07,0.03849427731300725,156.16769305730665
268,351154,8035.0,6.967881619945467e-07,0.03911588846635139,5.73713191751726
269,55127,8037.0,1.1618841953916501e-05,0.00018029975905368978,1.2931158349527743
270,26729,8039.0,8.17028810013385e-06,0.04995919369078401,0.17915795030296394
271,720403,8041.0,4.0764001247569625e-07,0.02449447103420846,179.75457683277128
272,47839,8043.0,3.699589391466181e-09,0.004102856716698934,6.425031253684579e-06
273,60061,8045.0,4.159801525237451e-06,0.021634630891062392,0.4671060043424579
275,15734,8049.0,1.1625016272209916e-05,3.631012310535697e-05,6.554195155551309e-08
276,17462,8051.0,1.2312446707948814e-05,0.0376226527490481,0.49528394014446825
277,820,8053.0,9.242638690474871e-06,0.0003253842042324623,4.9921773943126856e-08
