,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
28,9007,162436,7.672775787000001,9.541785273,6.7,3.5,88709.0,116.163,506.445845454546,0.0240921304341978,0.0192320194639172,0.000705169538881575,0.934284868871843,1.5231922742508698e-06,0.2327417132246433
29,9009,854757,9.945505361,9.215249152,11.6,4.4,67720.0,88.6782,3655.0665918032796,0.150329005488876,0.0504526959847663,0.0020954719522861803,0.7211944126584909,3.4268597413488196e-07,0.16939035979988304
30,9013,150721,7.524634219,6.953982947,8.0,3.6,89584.0,117.3087,737.901165,0.0260551735958177,0.0375982431778442,0.000503844276163084,0.8996426762860541,1.5943669042424697e-06,0.17490314499772452
31,10001,180786,11.83883159,9.779420359,13.8,4.1,54980.0,83.9812,430.783325,0.20626750260953602,0.0164234700473333,0.010618940629463,0.693426260657423,1.3814402021355413e-06,0.06832813312912607
32,10003,558753,11.22992593,8.80764452,11.6,3.7,69562.0,106.2551,2700.11634791667,0.325699267838789,0.0394766399126977,0.00203570232762715,0.587676453330564,4.365368806851353e-07,0.07109365171954962
33,10005,234225,9.870280017,11.99704927,12.3,3.7,59821.0,91.3758,314.585172608696,0.10936067436603698,0.0108823312016783,0.0030956127856705197,0.843477300184727,1.1685686143406538e-06,0.060959274062696
34,11001,705749,13.49112056,8.067954432,16.1,5.6,82533.0,100.0,13266.7656124402,0.343537467033302,0.0663851988311237,0.00282516069079428,0.523193607685732,3.536629150833157e-07,0.0967093578670756
35,12011,1952778,11.19756033,8.223889651,12.6,3.4,57200.0,103.1876,5120.879925,0.23311567573248104,0.0322864776106002,0.00228227588723181,0.674938801903494,1.280729405952691e-07,0.07567843326225468
36,12071,770577,8.865300545,10.42590819,12.1,3.4,56343.0,101.6416,1511.3255246808499,0.10002773561966302,0.014884895839723997,0.00199594653572217,0.8391606531139371,2.808576430491423e-07,0.06659004767117682
37,12081,403253,8.730755729,10.86705782,10.4,3.4,59587.0,107.4937,2076.5707566666697,0.0681496092646504,0.016825196154162,0.0037453773128854,0.87875102567479,4.7568650208161963e-07,0.11931003224424845
38,12086,2716940,11.33658603,7.9859435020000005,16.0,3.9,52043.0,93.8845,7780.9767531858415,0.18715625649801898,0.0179109169296893,0.0016889558197988302,0.7492967122059109,1.0690744057700382e-07,0.07010814745320845
